time[YYYY-MM-DD hh:mm:ss PST], water_salinity, water_electrical_conductivity, water_temperature
"2012/06/01 00:36:42", 18.947, 2.332, 12.670
"2012/06/01 00:36:45", 18.583, 2.290, 12.643
"2012/06/01 00:36:48", 18.157, 2.241, 12.635
"2012/06/01 00:36:51", 17.728, 2.193, 12.641
"2012/06/01 00:36:54", 17.799, 2.202, 12.653
"2012/06/01 00:36:57", 18.136, 2.240, 12.655
"2012/06/01 00:45:36", 12.670, 1.633, 13.204
"2012/06/01 00:45:39", 12.729, 1.640, 13.189
"2012/06/01 00:45:42", 12.578, 1.621, 13.178
"2012/06/01 00:45:45", 12.340, 1.593, 13.175
"2012/06/01 00:45:48", 12.094, 1.564, 13.180
"2012/06/01 00:45:51", 12.040, 1.558, 13.190
"2012/06/01 00:45:54", 11.900, 1.541, 13.197
"2012/06/01 00:45:57", 11.695, 1.517, 13.206
"2012/06/01 00:48:36", 13.458, 1.728, 13.238
"2012/06/01 00:48:39", 14.056, 1.796, 13.192
"2012/06/01 00:48:42", 14.233, 1.815, 13.145
"2012/06/01 00:48:45", 14.222, 1.812, 13.111
"2012/06/01 00:48:48", 14.251, 1.815, 13.090
"2012/06/01 00:48:51", 14.620, 1.857, 13.073
"2012/06/01 00:48:54", 15.215, 1.925, 13.049
"2012/06/01 00:48:57", 15.462, 1.952, 13.014
"2012/06/01 00:51:36", 13.605, 1.737, 13.054
"2012/06/01 00:51:39", 14.321, 1.821, 13.058
"2012/06/01 00:51:42", 15.305, 1.935, 13.035
"2012/06/01 00:51:45", 15.612, 1.969, 12.994
"2012/06/01 00:51:48", 15.152, 1.914, 12.959
"2012/06/01 00:51:51", 14.483, 1.836, 12.951
"2012/06/01 00:51:54", 14.018, 1.782, 12.966
"2012/06/01 00:51:57", 13.991, 1.780, 12.987
"2012/06/01 00:52:00", 14.411, 1.829, 12.998
"2012/06/01 00:54:36", 19.593, 2.400, 12.592
"2012/06/01 00:54:39", 19.702, 2.411, 12.564
"2012/06/01 00:54:42", 19.913, 2.433, 12.540
"2012/06/01 00:54:45", 20.150, 2.458, 12.516
"2012/06/01 00:54:48", 20.344, 2.478, 12.491
"2012/06/01 00:54:51", 20.336, 2.475, 12.468
"2012/06/01 00:54:54", 20.217, 2.461, 12.450
"2012/06/01 00:54:57", 20.210, 2.460, 12.441
"2012/06/01 00:55:00", 20.264, 2.465, 12.432
"2012/06/01 00:57:36", 16.545, 2.063, 12.733
"2012/06/01 00:57:39", 16.409, 2.048, 12.735
"2012/06/01 00:57:42", 16.478, 2.056, 12.739
"2012/06/01 00:57:45", 16.570, 2.066, 12.738
"2012/06/01 00:57:48", 16.527, 2.061, 12.734
"2012/06/01 00:57:51", 16.321, 2.038, 12.733
"2012/06/01 00:57:54", 16.082, 2.010, 12.738
