SiteID,Latitude,Longitude
1,18.013291,-66.61449
2,18.178309,-66.11107
3,18.179246,-66.113423
4,18.179246,-66.113423
5,18.180752,-66.112215
6,18.236227,-66.04134
7,18.33693934,-65.67042299
8,18.386834,-66.115793
9,18.388179,-66.114391
10,18.40482,-65.978882
11,18.410228,-65.97941
12,18.410228,-65.97941
13,18.413692,-66.31897
14,18.417375,-66.061221
15,18.430555,-66.484708
16,18.438019,-66.04736
17,18.44194,-66.398866
18,18.452196,-66.178341
19,18.45567359,-66.07026406
20,18.4634403,-66.11399152
21,18.466563,-66.270521
22,18.471326,-66.728149
23,19.200662,-155.525898
24,19.52796,-154.909098
25,19.575395,-154.961816
26,19.65683014,-155.9833717
27,19.664709,-155.981431
28,19.664709,-155.981431
29,19.664709,-155.981431
30,19.69513465,-155.0668578
31,19.69957769,-155.0586408
32,19.71373183,-155.0964532
33,19.71579112,-155.0973981
34,19.71871132,-155.081239
35,19.975127,-155.76277
36,20.74798507,-156.4523907
37,20.75139869,-156.4560485
38,20.847667,-156.329587
39,20.87629447,-156.4550055
40,20.8878857,-156.5015636
41,20.88872501,-156.4784654
42,20.89179724,-156.466293
43,20.896769,-156.504013
44,20.9132635,-156.6892898
45,21.27699161,-157.7863766
46,21.27699161,-157.7863766
47,21.27799166,-157.7557869
48,21.28098425,-157.83041
49,21.28098425,-157.83041
50,21.28509925,-157.7068731
51,21.28509925,-157.7068731
52,21.28659557,-157.8078022
53,21.2869632,-157.8128474
54,21.29114923,-157.8440331
55,21.29114923,-157.8440331
56,21.29311028,-157.8238763
57,21.29311028,-157.8238763
58,21.29680208,-157.8554282
59,21.29800006,-157.8391612
60,21.30120291,-157.8476483
61,21.3076836,-157.8625129
62,21.30823102,-157.8102183
63,21.30929697,-157.860569
64,21.31301683,-157.8574286
65,21.31514754,-157.8681548
66,21.32301046,-157.8582983
67,21.33008073,-158.0911136
68,21.33266,-158.021874
69,21.33266,-158.021874
70,21.33324079,-157.8789492
71,21.33629666,-157.8683857
72,21.3367824,-158.0817612
73,21.3367824,-158.0817612
74,21.34497481,-157.9136281
75,21.35549174,-157.9283769
76,21.37758837,-158.0237763
77,21.384548,-157.93373
78,21.384548,-157.93373
79,21.3915682,-157.7398735
80,21.39362822,-157.7421431
81,21.39362822,-157.7421431
82,21.39432168,-157.9688719
83,21.39626206,-157.7426744
84,21.4032778,-157.7979869
85,21.4032778,-157.7979869
86,21.410205,-157.964616
87,21.42022747,-157.8030359
88,21.43576767,-158.1848079
89,21.440282,-158.186378
90,21.440282,-158.186378
91,21.44193824,-158.0214489
92,21.447784,-158.023645
93,21.45281372,-158.0082573
94,21.49582611,-158.0313594
95,21.49695977,-158.0249517
96,21.49695977,-158.0249517
97,21.58537425,-158.1037192
98,21.620407,-157.9186
99,21.90017658,-159.5881861
100,21.907994,-159.489037
101,21.97055525,-159.3851588
102,22.078817,-159.35007
103,24.55145608,-81.79809272
104,24.55561653,-81.80297932
105,24.5601604,-81.8056516
106,24.562514,-81.761061
107,24.56388094,-81.7752904
108,24.6702769,-81.3570207
109,24.9296608,-80.62284946
110,25.00508667,-80.52116304
111,25.09272278,-80.44225113
